Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2013/01/01 00:00:00;2013/01/01 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12015;MIRAMONT;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;5.0;5.4541666667;µg-m3;100.0;100;100.0;R;1;43.093611;0.743611
2013/01/01 00:00:00;2013/01/01 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12016;DAURAT ST GAUDENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;0.0;0.4173913043;µg-m3;96.0;100;96.0;R;1;43.106156;0.71955
2013/01/01 00:00:00;2013/01/01 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12030;BERTHELOT;Urbaine;SO2;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.0;µg-m3;100.0;100;100.0;R;1;43.587344;1.444003
2013/01/02 00:00:00;2013/01/02 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12015;MIRAMONT;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;4.0;4.1625;µg-m3;100.0;100;100.0;R;1;43.093611;0.743611
2013/01/02 00:00:00;2013/01/02 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12016;DAURAT ST GAUDENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;0.0;0.1125;µg-m3;100.0;100;100.0;R;1;43.106156;0.71955
2013/01/02 00:00:00;2013/01/02 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12030;BERTHELOT;Urbaine;SO2;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.0125;µg-m3;100.0;100;100.0;R;1;43.587344;1.444003
2013/01/03 00:00:00;2013/01/03 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12015;MIRAMONT;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;2.0;1.5291666667;µg-m3;100.0;100;100.0;R;1;43.093611;0.743611
2013/01/03 00:00:00;2013/01/03 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12016;DAURAT ST GAUDENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;0.0;0.1791666667;µg-m3;100.0;100;100.0;R;1;43.106156;0.71955
2013/01/03 00:00:00;2013/01/03 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12030;BERTHELOT;Urbaine;SO2;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.0;µg-m3;100.0;100;100.0;R;1;43.587344;1.444003
2013/01/04 00:00:00;2013/01/04 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12015;MIRAMONT;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;0.0;0.4208333333;µg-m3;100.0;100;100.0;R;1;43.093611;0.743611
2013/01/04 00:00:00;2013/01/04 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12016;DAURAT ST GAUDENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;3.0;2.8739130435;µg-m3;96.0;100;96.0;R;1;43.106156;0.71955
2013/01/04 00:00:00;2013/01/04 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12030;BERTHELOT;Urbaine;SO2;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.0375;µg-m3;100.0;100;100.0;R;1;43.587344;1.444003
2013/01/05 00:00:00;2013/01/05 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12015;MIRAMONT;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;2.0;2.025;µg-m3;100.0;100;100.0;R;1;43.093611;0.743611
2013/01/05 00:00:00;2013/01/05 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12016;DAURAT ST GAUDENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;3.0;3.225;µg-m3;100.0;100;100.0;R;1;43.106156;0.71955
2013/01/05 00:00:00;2013/01/05 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12030;BERTHELOT;Urbaine;SO2;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.0;µg-m3;100.0;100;100.0;R;1;43.587344;1.444003
2013/01/06 00:00:00;2013/01/06 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12015;MIRAMONT;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;3.0;2.5583333333;µg-m3;100.0;100;100.0;A;1;43.093611;0.743611
2013/01/06 00:00:00;2013/01/06 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12016;DAURAT ST GAUDENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;2.0;1.7333333333;µg-m3;100.0;100;100.0;R;1;43.106156;0.71955
2013/01/06 00:00:00;2013/01/06 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12030;BERTHELOT;Urbaine;SO2;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.0;µg-m3;100.0;100;100.0;R;1;43.587344;1.444003
2013/01/07 00:00:00;2013/01/07 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12015;MIRAMONT;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;3.0;3.2708333333;µg-m3;100.0;100;100.0;R;1;43.093611;0.743611
2013/01/07 00:00:00;2013/01/07 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12016;DAURAT ST GAUDENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;2.0;2.1863636364;µg-m3;92.0;100;92.0;R;1;43.106156;0.71955
2013/01/07 00:00:00;2013/01/07 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12030;BERTHELOT;Urbaine;SO2;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.3875;µg-m3;100.0;100;100.0;R;1;43.587344;1.444003
2013/01/08 00:00:00;2013/01/08 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12015;MIRAMONT;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;2.0;1.9;µg-m3;100.0;100;100.0;R;1;43.093611;0.743611
2013/01/08 00:00:00;2013/01/08 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12016;DAURAT ST GAUDENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;1.0;1.0041666667;µg-m3;100.0;100;100.0;R;1;43.106156;0.71955
2013/01/08 00:00:00;2013/01/08 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12030;BERTHELOT;Urbaine;SO2;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.0;µg-m3;100.0;100;100.0;R;1;43.587344;1.444003
2013/01/09 00:00:00;2013/01/09 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12015;MIRAMONT;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;3.0;2.7875;µg-m3;100.0;100;100.0;R;1;43.093611;0.743611
2013/01/09 00:00:00;2013/01/09 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12016;DAURAT ST GAUDENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;2.0;1.675;µg-m3;100.0;100;100.0;R;1;43.106156;0.71955
2013/01/09 00:00:00;2013/01/09 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12030;BERTHELOT;Urbaine;SO2;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.0;µg-m3;100.0;100;100.0;R;1;43.587344;1.444003
2013/01/10 00:00:00;2013/01/10 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12015;MIRAMONT;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;4.0;3.6291666667;µg-m3;100.0;100;100.0;R;1;43.093611;0.743611
2013/01/10 00:00:00;2013/01/10 23:59:59;ATMO OCCITANIE;FR12N20;MIDI-PYRENEES-ZR;FR12016;DAURAT ST GAUDENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;0.0;0.4956521739;µg-m3;96.0;100;96.0;R;1;43.106156;0.71955
