,Departement,Voisin 1,Voisin 2,Voisin 3,Voisin 4,Voisin 5,Voisin 6,Voisin 7,Voisin 8
0,1,38,73,74.0,39.0,71.0,69.0,,
1,2,59,80,60.0,77.0,51.0,8.0,,
2,3,42,71,58.0,18.0,23.0,63.0,,
3,4,83,6,5.0,26.0,84.0,13.0,,
4,5,4,26,38.0,73.0,,,,
5,6,83,4,20.0,,,,,
6,7,48,30,84.0,26.0,38.0,69.0,43.0,
7,8,55,51,2.0,59.0,,,,
8,9,31,11,66.0,,,,,
9,10,89,21,52.0,51.0,77.0,,,
10,11,9,31,81.0,34.0,,,,
11,12,34,30,48.0,15.0,46.0,82.0,81.0,
12,13,30,84,83.0,20.0,,,,
13,14,27,61,50.0,,,,,
14,15,48,43,63.0,19.0,46.0,12.0,,
15,16,17,79,86.0,87.0,24.0,,,
16,17,85,79,16.0,33.0,,,,
17,18,36,41,45.0,89.0,58.0,3.0,23.0,
18,19,23,87,24.0,46.0,15.0,63.0,,
19,20,13,83,6.0,,,,,
20,21,10,89,58.0,71.0,39.0,70.0,52.0,
21,22,29,56,35.0,,,,,
22,23,87,19,63.0,3.0,18.0,36.0,,
23,24,17,16,87.0,19.0,46.0,47.0,33.0,
24,25,39,70,90.0,,,,,
25,26,84,4,5.0,38.0,69.0,7.0,,
26,27,76,60,95.0,78.0,28.0,61.0,14.0,
27,28,27,78,91.0,45.0,41.0,72.0,61.0,
28,29,22,56,,,,,,
29,30,34,12,48.0,7.0,26.0,84.0,13.0,
30,31,65,32,82.0,81.0,11.0,9.0,,
31,32,31,65,64.0,40.0,47.0,82.0,,
32,33,17,24,47.0,40.0,,,,
33,34,11,81,12.0,30.0,,,,
34,35,50,53,49.0,44.0,56.0,22.0,,
35,36,37,41,18.0,23.0,87.0,86.0,,
36,37,41,36,86.0,49.0,72.0,,,
37,38,5,73,1.0,69.0,7.0,26.0,5.0,
38,39,1,71,21.0,70.0,25.0,,,
39,40,33,47,32.0,64.0,,,,
40,41,72,37,36.0,18.0,45.0,28.0,,
41,42,43,69,71.0,3.0,63.0,,,
42,43,48,7,69.0,42.0,63.0,15.0,,
43,44,56,35,53.0,49.0,85.0,,,
44,45,91,77,28.0,41.0,18.0,58.0,89.0,
45,46,15,19,24.0,47.0,82.0,12.0,,
46,47,33,40,32.0,82.0,46.0,24.0,,
47,48,12,30,7.0,43.0,15.0,,,
48,49,44,53,72.0,37.0,86.0,79.0,85.0,
49,50,14,61,53.0,35.0,,,,
50,51,2,77,10.0,52.0,55.0,8.0,,
51,52,21,70,88.0,55.0,51.0,10.0,,
52,53,49,72,61.0,50.0,35.0,44.0,,
53,54,57,67,88.0,55.0,,,,
54,55,54,88,52.0,51.0,8.0,,,
55,56,29,22,35.0,44.0,,,,
56,57,67,88,54.0,,,,,
57,58,3,71,21.0,89.0,45.0,18.0,,
58,59,2,80,62.0,8.0,,,,
59,60,2,80,76.0,27.0,95.0,77.0,,
60,61,14,27,28.0,72.0,53.0,50.0,,
61,62,80,59,2.0,,,,,
62,63,15,43,42.0,3.0,23.0,19.0,,
63,64,40,32,65.0,,,,,
64,65,64,32,31.0,,,,,
65,66,9,11,,,,,,
66,67,68,88,54.0,57.0,,,,
67,68,90,70,88.0,67.0,,,,
68,69,1,71,42.0,43.0,7.0,26.0,38.0,
69,70,21,39,25.0,90.0,88.0,52.0,,
70,71,3,42,69.0,1.0,39.0,21.0,58.0,
71,72,28,61,53.0,49.0,37.0,41.0,,
72,73,74,1,38.0,5.0,,,,
73,74,73,1,,,,,,
74,75,92,93,94.0,,,,,
75,76,80,60,27.0,,,,,
76,77,89,10,51.0,2.0,60.0,93.0,91.0,45.0
77,78,95,27,28.0,91.0,92.0,,,
78,79,17,85,49.0,86.0,16.0,,,
79,80,62,59,2.0,60.0,76.0,,,
80,81,11,34,12.0,82.0,31.0,,,
81,82,32,31,81.0,12.0,46.0,47.0,,
82,83,13,84,4.0,6.0,20.0,,,
83,84,13,4,26.0,7.0,30.0,,,
84,85,44,49,79.0,17.0,,,,
85,86,36,37,49.0,79.0,16.0,87.0,,
86,87,23,19,24.0,16.0,86.0,,,
87,88,70,90,68.0,67.0,57.0,54.0,55.0,52.0
88,89,58,21,10.0,77.0,45.0,,,
89,90,25,70,88.0,68.0,,,,
90,91,45,28,77.0,78.0,92.0,94.0,,
91,92,75,95,78.0,93.0,,,,
92,93,92,95,94.0,77.0,,,,
93,94,77,75,92.0,93.0,91.0,,,
94,95,78,27,60.0,93.0,92.0,,,
