id_aerogenerateur;id_parc;code_insee;nom_commune;code_dept;code_reg;puissance;hauteur_totale;hauteur_mat_nacelle;diametre_rotor;cote_ngf;periode_allumage_lib;periode_allumage_desc;type_feu_lib;type_feu_desc;date_mise_en_service;constructeur;reference_modele;x_aerogenerateur;y_aerogenerateur;epsg;libelle;date_maj;nom_eolienne
0005503449_E1;0005503449;35068;CHATEAUBOURG;35;53;1.00;99.70;73.00;53.00;74.000;Jour;;Feux fixes;;2011-04-23;ENERCON;E-53;371155.0;6786614.0;2154;Lambert-93;2022-05-19;
0005306849_E1;0005306849;50363;MOYON VILLAGES;50;28;2.30;124.00;83.00;82.00;45.000;Jour et Nuit;;Feux à éclats;;2014-04-01;ENERCON;E-82 E2;395860.28;6887806.5;2154;Lambert-93;2022-05-31;
0005306849_E2;0005306849;50363;MOYON VILLAGES;50;28;2.30;124.00;83.00;82.00;45.000;Jour et Nuit;;Feux à éclats;;2014-04-01;ENERCON;E-82 E2;395830.44;6886987.0;2154;Lambert-93;2022-05-31;
0005306849_E3;0005306849;50363;MOYON VILLAGES;50;28;2.30;124.00;83.00;82.00;45.000;Jour et Nuit;;Feux à éclats;;2014-04-01;ENERCON;E-82 E2;395760.56;6886064.0;2154;Lambert-93;2022-05-31;
0003102050_E1;0003102050;16317;ST FRAIGNE;16;75;3.60;180.00;119.00;126.00;95.000;Jour et Nuit;;Feux à éclats;;;VESTAS;V126-3.6MW;463180.0;6547301.0;2154;Lambert-93;2022-06-22;
0003102050_E2;0003102050;16317;ST FRAIGNE;16;75;3.60;180.00;119.00;126.00;99.000;Jour et Nuit;;Feux à éclats;;;VESTAS;V126-3.6MW;463507.0;6546828.0;2154;Lambert-93;2022-06-22;
0003102050_E3;0003102050;16317;ST FRAIGNE;16;75;3.60;180.00;119.00;126.00;106.000;Jour et Nuit;;Feux à éclats;;;VESTAS;V126-3.6MW;463825.0;6547053.0;2154;Lambert-93;2022-06-22;
0003102050_E4;0003102050;16317;ST FRAIGNE;16;75;3.60;180.00;119.00;126.00;100.000;Jour et Nuit;;Feux à éclats;;;VESTAS;V126-3.6MW;464012.0;6546446.0;2154;Lambert-93;2022-06-22;
0003102050_E5;0003102050;16317;ST FRAIGNE;16;75;3.60;180.00;119.00;126.00;105.000;Jour et Nuit;;Feux à éclats;;;VESTAS;V126-3.6MW;465016.0;6545521.0;2154;Lambert-93;2022-06-22;
0003102050_E6;0003102050;16317;ST FRAIGNE;16;75;3.60;180.00;119.00;126.00;112.000;Jour et Nuit;;Feux à éclats;;;VESTAS;V126-3.6MW;465101.0;6545026.0;2154;Lambert-93;2022-06-22;
0003102050_E7;0003102050;16317;ST FRAIGNE;16;75;3.60;180.00;119.00;126.00;111.000;Jour et Nuit;;Feux à éclats;;;VESTAS;V126-3.6MW;465626.0;6545269.0;2154;Lambert-93;2022-06-22;
0003102050_E8;0003102050;16317;ST FRAIGNE;16;75;3.60;180.00;119.00;126.00;99.000;Jour et Nuit;;Feux à éclats;;;VESTAS;V126-3.6MW;465726.0;6544750.0;2154;Lambert-93;2022-06-22;
0010011510_E1;0010011510;45160;GRENEVILLE EN BEAUCE;45;24;1.00;101.00;74.00;60.00;153.000;Jour et Nuit;;Feux à éclats;;2008-08-07;VERGNET SA;GEV HP;635203.5;6786526.5;2154;Lambert-93;2022-06-22;
0006112668_E1;0006112668;26020;LA REPARA AURIPLES;26;84;2.40;100.00;100.00;71.00;394.000;Jour et Nuit;;Feux à éclats;;2009-11-05;ENERCON;E-70 E4;857657.3;6395639.0;2154;Lambert-93;2022-06-25;
0005108310_E1;0005108310;60634;THIEUX;60;32;3.00;134.50;76.00;117.00;170.000;Jour et Nuit;;Feux à éclats;;2022-04-30;NORDEX;N117/3000 Controlled;649105.4;6939594.0;2154;Lambert-93;2022-06-28;
0005108310_E2;0005108310;60634;THIEUX;60;32;3.00;134.50;76.00;117.00;169.000;Jour et Nuit;;Feux à éclats;;2022-04-30;NORDEX;N117/3000 Controlled;649363.0;6939313.0;2154;Lambert-93;2022-06-28;
0005108310_E3;0005108310;60634;THIEUX;60;32;3.00;134.50;76.00;117.00;172.000;Jour et Nuit;;Feux à éclats;;2022-04-30;NORDEX;N117/3000 Controlled;648973.5;6938644.0;2154;Lambert-93;2022-06-28;
0005108310_E4;0005108310;60634;THIEUX;60;32;3.00;134.50;76.00;117.00;170.000;Jour et Nuit;;Feux à éclats;;2022-04-30;NORDEX;N117/3000 Controlled;648970.9;6938296.0;2154;Lambert-93;2022-06-28;
0005108310_E5;0005108310;60634;THIEUX;60;32;3.00;134.50;76.00;117.00;161.000;Jour et Nuit;;Feux à éclats;;2022-04-30;NORDEX;N117/3000 Controlled;648925.5;6937847.5;2154;Lambert-93;2022-06-28;
0005108310_E6;0005108310;60634;THIEUX;60;32;3.00;134.50;76.00;117.00;165.000;Jour et Nuit;;Feux à éclats;;2022-04-30;NORDEX;N117/3000 Controlled;648735.25;6937582.0;2154;Lambert-93;2022-06-28;
0006112611_E1;0006112611;26041;BEAUSEMBLANT;26;84;2.00;120.00;82.00;80.00;348.000;Jour et Nuit;;Feux à éclats;;2007-02-20;VESTAS;V80-2.0MW;845873.0;6458912.0;2154;Lambert-93;2022-06-29;
0006112611_E2;0006112611;26041;BEAUSEMBLANT;26;84;2.00;125.00;82.00;90.00;348.000;Jour et Nuit;;Feux à éclats;;2007-02-20;VESTAS;V90-2.0MW;845551.6;6458607.5;2154;Lambert-93;2022-06-29;
0006112611_E3;0006112611;26041;BEAUSEMBLANT;26;84;2.00;125.00;82.00;90.00;348.000;Jour et Nuit;;Feux à éclats;;2007-02-20;VESTAS;V90-2.0MW;845459.0;6458534.5;2154;Lambert-93;2022-06-29;
0006112611_E4;0006112611;26041;BEAUSEMBLANT;26;84;2.00;125.00;82.00;90.00;341.000;Jour et Nuit;;Feux à éclats;;2007-02-20;VESTAS;V90-2.0MW;846245.44;6458339.0;2154;Lambert-93;2022-06-29;
0006112611_E6;0006112611;26041;BEAUSEMBLANT;26;84;2.00;125.00;82.00;90.00;346.000;Jour et Nuit;;Feux à éclats;;2007-02-20;VESTAS;V90-2.0MW;845408.1;6457902.0;2154;Lambert-93;2022-06-29;
0006112611_E5;0006112611;26041;BEAUSEMBLANT;26;84;2.00;125.00;82.00;90.00;349.000;Jour et Nuit;;Feux à éclats;;2007-02-20;VESTAS;V90-2.0MW;846511.56;6458200.0;2154;Lambert-93;2022-06-29;
0007006185_E1;0007006185;62777;LE SARS;62;32;3.68;149.50;91.00;117.00;114.900;Jour et Nuit;;Feux à éclats;;2022-02-28;NORDEX;N117/3675;684625.4;6995932.0;2154;Lambert-93;2022-07-01;
0007006185_E2;0007006185;62561;MARTINPUICH;62;32;3.68;149.50;91.00;117.00;117.300;Jour et Nuit;;Feux à éclats;;2022-02-28;NORDEX;N117/3675;684902.25;6995786.0;2154;Lambert-93;2022-07-01;
0007211281_E2;0007211281;16025;BAIGNES-SAINTE-RADEGONDE;16;75;3.90;180.00;114.00;131.00;74.000;Jour et Nuit;;Feux à éclats;;;NORDEX;N131/3900;444193.5;6479688.5;2154;Lambert-93;2022-10-19;
0007006185_E3;0007006185;62777;LE SARS;62;32;3.68;149.50;91.00;117.00;126.100;Jour et Nuit;;Feux à éclats;;2022-02-28;NORDEX;N117/3675;684096.3;6995921.5;2154;Lambert-93;2022-07-01;
0007006185_E4;0007006185;62561;MARTINPUICH;62;32;3.68;149.50;91.00;117.00;115.600;Jour et Nuit;;Feux à éclats;;2022-02-28;NORDEX;N117/3675;684415.9;6995628.5;2154;Lambert-93;2022-07-01;
0010012388_E1;0010012388;36195;ST GEORGES SUR ARNON;36;24;2.40;156.50;98.00;117.00;145.800;Jour et Nuit;;Feux à éclats;;2021-12-01;NORDEX;N117/2400;629026.0;6654326.0;2154;Lambert-93;2022-07-01;
0010012388_E2;0010012388;36195;ST GEORGES SUR ARNON;36;24;2.40;156.50;98.00;117.00;147.200;Jour et Nuit;;Feux à éclats;;2021-12-01;NORDEX;N117/2400;628536.75;6654155.5;2154;Lambert-93;2022-07-01;
0010012388_E3;0010012388;36195;ST GEORGES SUR ARNON;36;24;2.40;156.50;98.00;117.00;143.450;Jour et Nuit;;Feux à éclats;;2021-12-01;NORDEX;N117/2400;628126.0;6653953.5;2154;Lambert-93;2022-07-01;
0010012388_E4;0010012388;36195;ST GEORGES SUR ARNON;36;24;2.40;156.50;98.00;117.00;142.200;Jour et Nuit;;Feux à éclats;;2021-12-01;NORDEX;N117/2400;627541.0;6653774.0;2154;Lambert-93;2022-07-01;
0010012388_E5;0010012388;36195;ST GEORGES SUR ARNON;36;24;2.40;156.50;98.00;117.00;139.800;Jour et Nuit;;Feux à éclats;;2021-12-01;NORDEX;N117/2400;626709.0;6653785.0;2154;Lambert-93;2022-07-01;
0010012388_E6;0010012388;36195;ST GEORGES SUR ARNON;36;24;2.40;156.50;98.00;117.00;141.600;Jour et Nuit;;Feux à éclats;;2021-12-01;NORDEX;N117/2400;627087.1;6654226.0;2154;Lambert-93;2022-07-01;
0010012388_E7;0010012388;36195;ST GEORGES SUR ARNON;36;24;2.40;156.50;98.00;117.00;138.700;Jour et Nuit;;Feux à éclats;;2021-12-01;NORDEX;N117/2400;627260.94;6654672.0;2154;Lambert-93;2022-07-01;
0010012388_E8;0010012388;36195;ST GEORGES SUR ARNON;36;24;2.40;156.50;98.00;117.00;131.560;Jour et Nuit;;Feux à éclats;;2021-12-01;NORDEX;N117/2400;627790.44;6655247.0;2154;Lambert-93;2022-07-01;
0010012388_E9;0010012388;36125;MIGNY;36;24;2.40;156.50;98.00;117.00;148.300;Jour et Nuit;;Feux à éclats;;2021-12-01;NORDEX;N117/2400;628204.0;6655603.0;2154;Lambert-93;2022-07-01;
0010012388_E10;0010012388;36125;MIGNY;36;24;2.40;156.50;98.00;117.00;147.500;Jour et Nuit;;Feux à éclats;;2021-12-01;NORDEX;N117/2400;628807.0;6655894.0;2154;Lambert-93;2022-07-01;
0010012388_E11;0010012388;36195;ST GEORGES SUR ARNON;36;24;2.40;156.50;98.00;117.00;140.300;Jour et Nuit;;Feux à éclats;;2021-12-01;NORDEX;N117/2400;626815.4;6655247.5;2154;Lambert-93;2022-07-01;
0005520851_E2;0005520851;35205;NOYAL-SOUS-BAZOUGES;35;53;3.00;180.00;116.00;117.00;101.700;Jour et Nuit;;Feux à éclats;;2021-05-01;VESTAS;V117-3.0MW;358401.6;6826180.5;2154;Lambert-93;2022-07-12;
0005520851_E1;0005520851;35205;NOYAL-SOUS-BAZOUGES;35;53;3.00;180.00;116.00;117.00;106.500;Jour et Nuit;;Feux à éclats;;2021-05-01;VESTAS;V117-3.0MW;357873.3;6826131.5;2154;Lambert-93;2022-07-12;
0005520851_E3;0005520851;35019;BAZOUGES-LA-PEROUSE;35;53;3.00;180.00;116.00;117.00;102.400;Jour et Nuit;;Feux à éclats;;;VESTAS;V117-3.0MW;358736.4;6826408.5;2154;Lambert-93;2022-07-12;
0005520851_E4;0005520851;35019;BAZOUGES-LA-PEROUSE;35;53;3.00;180.00;116.00;117.00;107.700;Jour et Nuit;;Feux à éclats;;2021-05-01;VESTAS;V117-3.0MW;358852.4;6826979.5;2154;Lambert-93;2022-07-12;
0007211281_E1;0007211281;16025;BAIGNES-SAINTE-RADEGONDE;16;75;3.90;180.00;114.00;131.00;79.000;Jour et Nuit;;Feux à éclats;;;NORDEX;N131/3900;444825.4;6480029.0;2154;Lambert-93;2022-10-19;
0007211281_E3;0007211281;16025;BAIGNES-SAINTE-RADEGONDE;16;75;3.90;180.00;114.00;131.00;69.000;Jour et Nuit;;Feux à éclats;;;NORDEX;N131/3900;443487.6;6480192.0;2154;Lambert-93;2022-10-19;
0007211281_E4;0007211281;16025;BAIGNES-SAINTE-RADEGONDE;16;75;3.90;180.00;114.00;131.00;90.200;Jour et Nuit;;Feux à éclats;;;NORDEX;N131/3900;443932.1;6479128.0;2154;Lambert-93;2022-10-19;
0007211281_E5;0007211281;16025;BAIGNES-SAINTE-RADEGONDE;16;75;3.90;180.00;114.00;131.00;71.500;Jour et Nuit;;Feux à éclats;;;NORDEX;N131/3900;443635.8;6478588.0;2154;Lambert-93;2022-10-19;
0007211281_E6;0007211281;16025;BAIGNES-SAINTE-RADEGONDE;16;75;3.90;180.00;114.00;131.00;57.400;Jour et Nuit;;Feux à éclats;;;NORDEX;N131/3900;442516.7;6480936.5;2154;Lambert-93;2022-10-19;
0010012937_E2;0010012937;28422;LES VILLAGES VOVEENS;28;24;4.20;175.00;110.00;130.00;143.000;Jour et Nuit;;Feux à éclats;;2020-01-24;SIEMENS GAMESA;SWT130;600019.44;6798696.5;2154;Lambert-93;2022-07-19;
0010012937_E3;0010012937;28422;LES VILLAGES VOVEENS;28;24;4.20;175.00;110.00;130.00;146.000;Jour et Nuit;;Feux à éclats;;2020-01-24;SIEMENS GAMESA;SWT130;600226.94;6798505.0;2154;Lambert-93;2022-07-19;
0010012937_E4;0010012937;28422;LES VILLAGES VOVEENS;28;24;4.20;175.00;110.00;130.00;147.000;Jour et Nuit;;Feux à éclats;;2020-01-24;SIEMENS GAMESA;SWT130;599463.06;6798094.5;2154;Lambert-93;2022-07-19;
0010012937_E5;0010012937;28422;LES VILLAGES VOVEENS;28;24;4.20;175.00;110.00;130.00;148.000;Jour et Nuit;;Feux à éclats;;2020-01-24;SIEMENS GAMESA;SWT130;599567.7;6797787.0;2154;Lambert-93;2022-07-19;
0010012937_E1;0010012937;28422;LES VILLAGES VOVEENS;28;24;4.20;175.00;110.00;130.00;142.000;Jour et Nuit;;Feux à éclats;;2020-01-24;SIEMENS GAMESA;SWT130;599815.25;6798888.5;2154;Lambert-93;2022-07-19;
