"nom_champ";"type_champ";"description_champ"
id_parc;varchar;Numéro ICPE
nom_usuel;varchar;Nom usuel
code_insee;varchar;Code INSEE de la commune d'implantation
nom_commune;varchar;Nom de la commune d'implantation du parc
code_dept;varchar;Code du département de la commune d'implantation
code_reg;varchar;Code de la région de la commune d'implantation
date_delivrance_recipisse_prefecture;date;Date de délivrance du récipissé en préfecture
date_depot_demande_autorisation;date;Date de dépôt du dossier de demande d'autorisation auprès de la DREAL ou date du permis de construire pour les parcs éoliens qui bénéficient de l'antériorité
date_delivrance_avis_autorite_environnementale;date;Date de délivrance de l'avis de l'autorité environnementale
date_delivrance_rejet;date;Date de l'arrêté de rejet
date_delivrance_autorisation;date;Date de délivrance de l'autorisation
date_delivrance_refus;date;Date de l'arrêté de refus
date_debut_construction;date;Date de la déclaration d'ouverture du chantier de construction d'une ou plusieurs éolienne, ou du poste de livraison
date_mise_en_service;date;Date de mise en service
date_debut_demantelement;date;Date de la déclaration d'ouverture du chantier de démantèlement
date_cessation_activite;date;Date de la notification de la cessation d'activité de l'installation
etat_parc;varchar;Etat d'avancement du parc
statut_admin;varchar;Régime ICPE
statut_parc;varchar;Statut du parc
date_arrete_prefectoral_complementaire;date;Date d'arrêté préfectoral complémentaire
contentieux;bool;Statut du parc
repowering;bool;Le parc a-t-il fait l'objet d'un renouvellement
repowering_substantiel;bool;Repowering substantiel
repowering_notable;bool;Repowering notable
type;bpchar;Type de repowering
date_depot_demande_autorisation_repowering;date;Date de dépôt du dossier de demande de renouvellement auprès de la DREAL
date_repowering;date;Date d'arrêté préfectoral complémentaire pour le renouvellement
date_delivrance_avis_autorite_environnementale_repowering;date;Date de délivrance de l'avis de l'autorité environnementale pour le renouvellement
date_delivrance_autorisation_repowering;date;Date de dépôt du dossier de demande d'autorisation de renouvellement auprès de la DREAL ou date du permis de construire pour les parcs éoliens qui bénéficient de l'antériorité
nom_exploitant;varchar;Raison sociale de l'exploitant
siret;varchar;Siret de l'exploitant
date_maj;date;Date de récupération des données dans la base source
