id_parc;nom_usuel;code_insee;nom_commune;code_dept;code_reg;date_delivrance_recipisse_prefecture;date_depot_demande_autorisation;date_delivrance_avis_autorite_environnementale;date_delivrance_rejet;date_delivrance_autorisation;date_delivrance_refus;date_debut_construction;date_mise_en_service;date_debut_demantelement;date_cessation_activite;etat_parc;statut_admin;statut_parc;date_arrete_prefectoral_complementaire;contentieux;repowering;repowering_substantiel;repowering_notable;type;date_depot_demande_autorisation_repowering;date_repowering;date_delivrance_avis_autorite_environnementale_repowering;date_delivrance_autorisation_repowering;nom_exploitant;siret;date_maj
0000000019;Parc éolien de Beaune-la-Rolande;45030;BEAUNE-LA-ROLANDE;45;24;;2020-12-02;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-21
0000000034;EOLIEN - TOTAL QUADRAN CE La Luçoise;48086;LUC;48;76;;2020-11-12;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;CENTRALE EOLIENNE LA LUCOISE;;2022-11-17
0000000035;PROJET EOLIEN DE COURCHATON - SEPE PEROUSE;70180;COURCHATON;70;27;;2020-12-07;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-11-25
0003012006;Mont Heudelan 2;51487;ST HILAIRE LE PETIT;51;44;;2015-10-09;;;;;;2020-08-24;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-09-28
0003012037;PE de les Bouchats;51279;GRANGES SUR AUBE;51;44;;2015-12-07;2020-09-21;;2020-10-16;;2021-08-10;2022-05-20;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-11-08
0003012037;PE de les Bouchats;51353;MARSANGIS;51;44;;2015-12-07;2020-09-21;;2020-10-16;;2021-08-10;2022-05-20;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-11-08
0003012037;PE de les Bouchats;51516;ST SATURNIN;51;44;;2015-12-07;2020-09-21;;2020-10-16;;2021-08-10;2022-05-20;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-11-08
0003012037;PE de les Bouchats;51565;THAAS;51;44;;2015-12-07;2020-09-21;;2020-10-16;;2021-08-10;2022-05-20;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-11-08
0003012057;EOLIENNES DE BONNE VOISINE;10075;CHAMPFLEURY;10;44;;2016-01-07;2016-06-03;;2017-01-26;;2021-02-01;2021-10-01;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-21
0003012058;LES ORMELOTS - Champfleury;10075;CHAMPFLEURY;10;44;;2016-01-07;2016-06-03;;2017-01-26;;2021-02-01;2021-10-01;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-21
0003012061;Parc éolien de la Côte du Cerisat;51167;COOLE;51;44;;2015-12-18;2016-12-06;;2017-07-13;;;2021-01-06;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;EDPR FRANCE HOLDING;;2022-09-29
0003012061;Parc éolien de la Côte du Cerisat;51446;PRINGY;51;44;;2015-12-18;2016-12-06;;2017-07-13;;;2021-01-06;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;EDPR FRANCE HOLDING;;2022-09-29
0003012119;PARC EOLIEN MONT DE GERSON 2;08048;BARBY;08;44;;2016-01-20;;;;;2019-03-01;2020-10-23;;;;Autorisation;En instruction;;;;;;;;;;;SAS LES VENTS DE LA MOIVRE 4;43483627600023;2022-11-05
0003012119;PARC EOLIEN MONT DE GERSON 2;08427;SORBON;08;44;;2016-01-20;;;;;2019-03-01;2020-10-23;;;;Autorisation;En instruction;;;;;;;;;;;SAS LES VENTS DE LA MOIVRE 4;43483627600023;2022-11-05
0003012186;PARC EOLIEN LES ORLES DE LA TOMELLE;08021;ARNICOURT;08;44;;2007-07-06;;;;;;2010-05-12;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-09-14
0003012186;PARC EOLIEN LES ORLES DE LA TOMELLE;08048;BARBY;08;44;;2007-07-06;;;;;;2010-05-12;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-09-14
0003012393;Ferme Eolienne La Grande Plaine;51323;LINTHELLES;51;44;;2018-12-20;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-11-04
0003012393;Ferme Eolienne La Grande Plaine;51432;PLEURS;51;44;;2018-12-20;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-11-04
0003012415;FERME EOLIENNE DU MONT-LOUIS;08306;MONT-LAURENT;08;44;;2016-09-09;2017-08-14;;2019-09-05;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-11-05
0003012543;PARC EOLIEN DES 7 DOMAINES;57002;ABONCOURT-SUR-SEILLE;57;44;;2016-12-13;2018-08-01;;2019-04-29;;;2021-08-23;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;EDPR France Holding;81863925400056;2022-10-22
0003012543;PARC EOLIEN DES 7 DOMAINES;57440;MANHOUE;57;44;;2016-12-13;2018-08-01;;2019-04-29;;;2021-08-23;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;EDPR France Holding;81863925400056;2022-10-22
0003012547;PARC EOLIEN DU BAN SAINT-JEAN;57172;DENTING;57;44;;2019-12-16;2022-05-05;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;PARC EOLIEN DU BAN SAINT-JEAN SAS;;2022-11-19
0003012570;Parc éolien de Piroy;52337;MONTREUIL-SUR-THONNANCE;52;44;;2016-12-21;2018-03-29;;2019-03-22;;2019-10-07;2020-09-01;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-11-09
0003012570;Parc éolien de Piroy;52370;OSNE LE VAL;52;44;;2016-12-21;2018-03-29;;2019-03-22;;2019-10-07;2020-09-01;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-11-09
0003012582;BORALEX - Parc éolien Rernardière - Mont de Bézard II;51276;GOURGANCON;51;44;;2006-04-04;2019-09-04;;2019-11-15;;2022-01-11;;;;En construction;Autorisation;Autorisé;2019-11-15;;true;false;true;N;;2022-09-30;;;Exploitant anonymisé;;2022-10-22
0003012582;BORALEX - Parc éolien Rernardière - Mont de Bézard II;10369;SEMOINE;10;44;;2006-04-04;2019-09-04;;2019-11-15;;2022-01-11;;;;En construction;Autorisation;Autorisé;2019-11-15;;true;false;true;N;;2022-09-30;;;Exploitant anonymisé;;2022-10-22
0003012835;CEPE LE LANGROIS;52027;AUJEURRES;52;44;;2017-08-01;;;2020-05-27;;;;;;;Autorisation;En instruction;;;;;;;;;;;CEPE LE LANGROIS;;2022-10-20
