Centrale nucléaire,Nombre de réacteur,Commune,Commune Lat,Commune long,Département,Rg,Palier,Puissance thermique (MWt),Puissance brute (MWe),Puissance nette (MWe),Début construction  (premier réacteur),Raccordement au réseau (premier réacteur),Mise en service (premier réacteur)
Belleville,2,Belleville,47.507221,2.84996,Cher,54,P'4,7634,2726,2620,1980,1987,1988
Blayais,4,Braud-et-Saint-Louis,45.247987,-0.626174,Gironde,32,CP1,11140,3804,3640,1977,1981,1981
Bugey,4,Saint-Vulbas,45.832913,5.290324,Ain,13,CP0,11140,3724,3580,1972,1978,1979
Cattenom,4,Cattenom,49.406263,6.243668,Moselle,50,P'4,15268,5448,5200,1979,1986,1987
Chinon-B,4,Avoine,47.205697,0.181982,Indre-et-Loire,40,CP2,11140,3816,3620,1977,1982,1984
Chooz-B,2,Chooz,50.102368,4.807117,Ardennes,62,N4,17080,3120,3000,1984,1996,2000
Civaux,2,Civaux,46.444209,0.664866,Vienne,72,N4,17080,3122,2990,1988,1997,2002
Cruas,4,Cruas,44.656914,4.765255,Ardèche,42,CP2,11140,3824,3660,1978,1983,1984
Dampierre,4,Dampierre,47.761336,2.519807,Loiret,22,CP1,11140,3748,3560,1975,1980,1980
Fessenheim,4,Fessenheim,47.914709,7.537626,Haut-Rhin,11,CP0,5320,1840,1760,1971,1977,1978
Flamanville,2,Flamanville,49.53207,-1.865804,Manche,46,P4,7634,2764,2660,1979,1985,1986
Golfech,2,Golfech,44.114113,0.851985,Tarn-et-Garonne,61,P'4,7634,2726,2620,1982,1990,1991
Gravelines,6,Gravelines,50.98707,2.125537,Nord,20,CP1,16710,5706,5460,1975,1980,1980
Nogent,2,Nogent,48.492624,3.498165,Aube,58,P'4,7634,2726,2620,1981,1987,1988
Paluel,4,Paluel,49.832363,0.629065,Seine-Maritime,36,P4,7634,5528,5320,1977,1984,1985
Penly,2,Saint-Martin-en-Campagne et Penly,49.957475,1.222451,Seine-Maritime,63,P'4,7634,2764,2660,1982,1990,1990
Saint-Alban,2,Saint-Alban,45.270039,5.332525,Isère,48,P4,7634,2762,2670,1979,1985,1986
St. Laurent,2,Saint-Laurent,47.748227,0.867467,Loir-et-cher,17,CP2,5570,1912,1830,1976,1981,1983
Tricastin,4,Pierrelatte,44.37775,4.696981,Drôme,18,CP1,11140,3820,3660,1974,1980,1980
