idMvt;conf;xsaisi;ysaisi;epsg;num_insee;commune;dateDebut;lieu_dit;typeMvt;libelleType;fiabiliteType;libelleFiabilite;PrecDate;libelleDate;prec_xy;libellePrec;longitudeDoublePrec;latitudeDoublePrec;
"12100421";;"881957.099999999977";"6267652.5";"2154";"13081";"ROGNAC";"2010-01-01";"Falaise entre la Croix de Rognac et l'Oppidum";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"2";"Décamètre";"5.24859000000000009";"43.4846399999999988";
"61300335";;"831530";"1860291";"27572";"13053";"MALLEMORT";;"le Camp Blanc";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"2";"Décamètre";"5.20600605010985973";"43.7063751220702983";
"61300336";;"831516";"1859817";"27572";"13053";"MALLEMORT";;;"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"2";"Décamètre";"5.20561790466309038";"43.7021255493163991";
"61300337";;"825534";"1863428";"27572";"13053";"MALLEMORT";;"le Cabaret neuf";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"2";"Décamètre";"5.13314199447632014";"43.7364959716797017";
"61300461";;"818740";"1867510";"27572";"13067";"ORGON";;"Falaise du Lavau";"2";"Chute de blocs / Eboulement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"5.05070018768310547";"43.775299072265625";
"61300462";;"818780";"1866320";"27572";"13105";"SENAS";"2009-01-01";"Falaise au dessus des Agranas";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"2";"Décamètre";"5.05076980590820312";"43.7645988464355469";
"61300463";;"837510";"1820040";"27572";"13088";"LE ROVE";;"La Vesse";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"3";"Hectomètre";"5.26154994964599609";"43.3428993225097656";
"61300464";;"837570";"1820010";"27572";"13088";"LE ROVE";;"Port de la Vesse";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"3";"Hectomètre";"5.26219987869262695";"43.3426017761230469";
"61300465";;"837560";"1820060";"27572";"13088";"LE ROVE";;"La Vesse";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"3";"Hectomètre";"5.26215982437133789";"43.3431015014648438";
"61300466";;"837600";"1819980";"27572";"13088";"LE ROVE";;"Port de la Vesse";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"3";"Hectomètre";"5.26255989074707031";"43.3423004150390625";
