idMvt;conf;xsaisi;ysaisi;epsg;num_insee;commune;dateDebut;lieu_dit;typeMvt;libelleType;fiabiliteType;libelleFiabilite;PrecDate;libelleDate;prec_xy;libellePrec;longitudeDoublePrec;latitudeDoublePrec;
"33104134";;"470420";"1763225";"27572";"31190";"FOS";"1893-06-05";"Plan de Gar";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"0.754380721231178053";"42.8604279540339022";
"63100202";;"526750";"1828330";"27572";"31148";"CLERMONT-LE-FORT";"1911-01-01";"Le Ramier";"2";"Chute de blocs / Eboulement";"1";"Fort";"5";"Décennie";"3";"Hectomètre";"1.43295349680290007";"43.4533031659064974";
"33104110";;"449501";"1763784";"27572";"31081";"BOURG-D'OUEIL";"1884-03-10";"Village";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"0.498882470122642974";"42.8613588544209989";
"63100284";;"527230";"1826680";"27572";"31572";"VENERQUE";;;"2";"Chute de blocs / Eboulement";"1";"Fort";"0";"Inconnue";"3";"Hectomètre";"1.43910687509401991";"43.4385254364480033";
"63100285";;"529310";"1825480";"27572";"31572";"VENERQUE";;"Lac de la Tuilerie";"2";"Chute de blocs / Eboulement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.46492143977017997";"43.4279526229600989";
"33104119";;"449501";"1763784";"27572";"31081";"BOURG-D'OUEIL";"1995-01-01";"Village";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"0.498882470122642974";"42.8613588544209989";
"33104135";;"460618";"1772623";"27572";"31176";"ESTENOS";"1982-10-01";"Cerlot";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"0.632243673393050987";"42.9429848153970966";
"63100261";;"514190";"1817850";"27572";"31399";"NOE";;"Quartier Marsac";"2";"Chute de blocs / Eboulement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.27976858446584996";"43.3577238296114018";
"63100259";;"514220";"1816790";"27572";"31399";"NOE";;"Ouest de Le Coumbet";"2";"Chute de blocs / Eboulement";"3";"Faible";"0";"Inconnue";"3";"Hectomètre";"1.28031353741798992";"43.3482030795716966";
"63100231";;"527690";"1840240";"27572";"31555";"TOULOUSE";;"Les Moines";"2";"Chute de blocs / Eboulement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.44287677107043999";"43.5604304105249014";
"33104004";;"458631";"1750073";"27572";"31042";"BAGNERES-DE-LUCHON";"1952-01-01";"Lits de Tortes";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"0.613999048309265993";"42.7401026287551034";
